passer_player_name,times_sacked,sack_penalty
A.Dalton,7,-7
A.O'Connell,10,-10
A.Richardson,14,-14
A.Rodgers,40,-40
B.Allen,2,-2
B.Mayfield,41,-41
B.Nix,26,-26
B.Purdy,31,-31
B.Young,29,-29
B.Zappe,1,-1
C.Oladokun,1,-1
C.Rush,13,-13
C.Stroud,63,-63
C.Wentz,4,-4
C.Williams,68,-68
C.Wilson,1,-1
D.Carr,8,-8
D.Jones,29,-29
D.Lock,12,-12
D.Maye,34,-34
D.Mills,2,-2
D.Prescott,21,-21
D.Ridder,10,-10
D.Samuel,1,-1
D.Thompson-Robinson,8,-8
D.Watson,33,-33
G.Minshew,29,-29
G.Smith,50,-50
H.Hooker,1,-1
J.Allen,19,-19
J.Brissett,18,-18
J.Burrow,48,-48
J.Daniels,51,-51
J.Dobbs,2,-2
J.Fields,16,-16
J.Flacco,18,-18
J.Garoppolo,3,-3
J.Goff,33,-33
J.Haener,6,-6
J.Herbert,45,-45
J.Hurts,51,-51
J.Johnson,1,-1
J.Love,16,-16
J.Meyers,1,-1
J.Winston,24,-24
K.Cousins,28,-28
K.Murray,30,-30
K.Pickett,4,-4
L.Jackson,26,-26
M.Jones,14,-14
M.Mariota,3,-3
M.Penix,4,-4
M.Rudolph,11,-11
M.Stafford,35,-35
M.Willis,8,-8
P.Mahomes,47,-47
P.Sewell,1,-1
R.Wilson,37,-37
S.Barkley,1,-1
S.Darnold,57,-57
S.Howell,4,-4
S.Rattler,22,-22
S.Thompson,6,-6
T.Boyle,2,-2
T.Chandler,1,-1
T.DeVito,6,-6
T.Heinicke,3,-3
T.Huntley,15,-15
T.Lance,4,-4
T.Lawrence,18,-18
T.McKee,2,-2
T.Tagovailoa,21,-21
W.Levis,41,-41
